slug,originalTitle,originalLanguage,artist_slugs,releaseDate,variantLabel,baseVersion_slug,ja_title,ja_variantLabel,ko_title,ko_variantLabel,en_title,en_variantLabel,sourceNote,album_slug,disc_number,track_number
bloom-the-smile-bloom-the-dream,"Bloom the smile, Bloom the dream!",ja,hasunosora,2024-07-17,,-,,,,,,,,bloom-the-smile-bloom-the-dream,,1
365-days,365 Days,ja,hasunosora,2024-07-17,,,,,,,,,,bloom-the-smile-bloom-the-dream,,2
tsukuyomi-kurage,月夜見海月,ja,cerise-bouquet,2024-09-04,,,,,달밤을 보는 해파리,,Tsukuyomi Kurage,,,tsukuyomi-kurage,,1
reflection-in-the-mirror-104,Reflection in the mirror,ja,cerise-bouquet,2024-09-04,104期NEW Ver.,reflection-in-the-mirror,,,Reflection in the mirror,104기NEW Ver.,Reflection in the mirror,104th NEW Ver.,,tsukuyomi-kurage,,2
proof,Proof,ja,dollchestra,2024-09-11,,,,,,,,,,proof,,1
sparkly-spot-104,Sparkly Spot,ja,dollchestra,2024-09-11,104期NEW Ver.,sparkly-spot,,,Sparkly Spot,104기NEW Ver.,Sparkly Spot,104th NEW Ver.,,proof,,2
fanfare,ファンファーレ！！！,ja,mira-cra-park,2024-10-02,,,,,팡파레!!!,,Fanfare!!!,,,fanfare,,1
identity-104,アイデンティティ,ja,mira-cra-park,2024-10-02,104期NEW Ver.,identity,,,아이덴티티,104기NEW Ver.,Identity,104th NEW Ver.,,fanfare,,2
hanamusubi,ハナムスビ,ja,cerise-bouquet,2024-12-04,,,,,하나무스비,,Hanamusubi,,,hanamusubi-baadcage-joushoukiryuu,,1
birdcage,バアドケージ,ja,dollchestra,2024-12-04,,,,,버드케이지,,Birdcage,,,hanamusubi-baadcage-joushoukiryuu,,2
joushou-kiryuu,ジョーショーキリュー,ja,mira-cra-park,2024-12-04,,,,,상승기류,,Joushou Kiryuu,,,hanamusubi-baadcage-joushoukiryuu,,3
key-of-like,KEY of Like！,ja,cerise-bouquet dollchestra mira-cra-park,2025-02-04,,,,,,,,,,key-of-like,,1
now-or-never,Now or Never,ja,hasunosora,2025-02-04,,,,,,,,,,key-of-like,,2
aurora-flower,AURORA FLOWER,ja,cerise-bouquet dollchestra mira-cra-park,2025-02-26,,,,,,,,,,aurora-flower,,1
gekka-bijin,ゲッカビジン,ja,hasunosora,2025-02-26,,,,,월하미인,,Gekka Bijin,,,aurora-flower,,2
yume-wazurai,ユメワズライ,ja,cerise-bouquet,2025-03-19,,,,,꿈 앓이,,Yume Wazurai,,,yumewazurai,,1
chu-chocolate,Chu! Chocolate,ja,cerise-bouquet,2025-03-19,,,,,,,,,,yumewazurai,,2
compass,COMPASS,ja,dollchestra,2025-03-19,,,,,,,,,,compass,,1
rem,レム,ja,dollchestra,2025-03-19,,,,,렘,,Rem,,,compass,,2
zenhoui-kyun,全方位キュン♡,ja,mira-cra-park,2025-03-19,,,,,전방위 두근♡,,Zenhoui Kyun♡,,,zenhouii-kyun,,1
kakurenbo-shiyou,かくれんぼしよう,ja,mira-cra-park,2025-03-19,,,,,숨바꼭질하자,,Kakurenbo Shiyou,,,zenhouii-kyun,,2
oide-yo-ishikawa-daikankou,おいでよ！石川大観光,ja,hasunosora,2025-03-26,,,,,어서 와! 이시카와 대관광,,Oide yo! Ishikawa Daikankou,,,oideyo-ishikawa,,1
koigeshiki-shouwa-roman,恋景色昭和ロマン,ja,cerise-bouquet,2025-03-26,,,,,사랑의 풍경 쇼와 낭만,,Koigeshiki Shouwa Roman,,,oideyo-ishikawa,,2
veggie-love-roux,ベジ・ラブ・ルー,ja,dollchestra,2025-03-26,,,,,베지・러브・루,,Veggie・Love・Roux,,,oideyo-ishikawa,,3
mahara-jamboree-ii,マハラジャンボリーⅡ,ja,mira-cra-park,2025-03-26,,,,,마하라 잼버리II,,Mahara Jamboree II,,,oideyo-ishikawa,,4
haji-wa-jinsei-no-kakisute,恥は人生のかきすて,ja,ginko-solo kosuzu-solo hime-solo,2025-03-26,,,,,부끄러움은 인생의 낭비,,Haji wa Jinsei no Kakisute,,,oideyo-ishikawa,,5
love-it-wonderful-trip,Love it! Wonderful Trip!,ja,kaho-solo sayaka-solo rurino-solo,2025-03-26,,,,,,,,,,oideyo-ishikawa,,6
asterism,アステリズム,ja,kozue-solo tsuzuri-solo megumi-solo,2025-03-26,,,,,아스테리즘,,Asterism,,,oideyo-ishikawa,,7
itsudemo-itsumademo,いつでも、いつまでも,ja,hasunosora,2025-04-09,,,,,"언제나, 어디까지나",,"Itsudemo, Itsumademo",,,itsudemo-itsumademo,,1
ittan,いったん,ja,hasunosora,2025-04-09,,,,,일단,,Ittan,,,itsudemo-itsumademo,,2
dream-believers-105,Dream Believers,ja,hasunosora,2025-04-30,105期 Ver.,dream-believers,,,Dream Believers,105기 Ver.,Dream Believers,105th Ver.,,dream-believers-105,,1
celebration,Celebration!,ja,cerise-bouquet,2025-04-30,,,,,,,,,,dream-believers-105,,2
ampere,アンペア,ja,dollchestra,2025-04-30,,,,,암페어,,Ampere,,,dream-believers-105,,3
wawo,WAWO!,ja,mira-cra-park,2025-04-30,,,,,,,,,,dream-believers-105,,4
edelied,Edelied,ja,edel-note,2025-04-30,,,,,,,,,,dream-believers-105,,5
hello-new-dream,"Hello, new dream!",ja,hasunosora,2025-04-30,,,,,,,,,,dream-believers-105,,6
deepness-rec,DEEPNESS,ja,hasunosora,2025-05-20,ReC Ver.,deepness,,,,,,,,104th-collection,1,1
natsumeki-pain-104,夏めきペイン,ja,hasunosora,2025-05-20,104期 Ver.,natsumeki-pain,,,나츠메키페인,104기 Ver.,Natsumeki Pain,104th Ver.,,104th-collection,1,2
trick-cute-104,Trick ＆ Cute,ja,hasunosora,2025-05-20,104期 Ver.,trick-cute,,,Trick ＆ Cute,104기 Ver.,Trick ＆ Cute,104th Ver.,,104th-collection,1,3
tsubasa-la-liberte-104,ツバサ・ラ・リベルテ,ja,hasunosora,2025-05-20,104期 Ver.,tsubasa-la-liberte,,,츠바사 라 리베르테,104기 Ver.,Tsubasa La Liberte,104th Ver.,,104th-collection,1,4
link-to-the-future-104,Link to the FUTURE,ja,cerise-bouquet dollchestra mira-cra-park,2025-05-20,104期 Ver.,link-to-the-future,,,Link to the FUTURE,104기 Ver.,Link to the FUTURE,104th Ver.,,104th-collection,1,5
dream-believers-sakura,Dream Believers,ja,hasunosora,2025-05-20,SAKURA Ver.,dream-believers,,,,,,,,104th-collection,1,6
suisai-sekai-104,水彩世界,ja,cerise-bouquet,2025-05-20,104期 Ver.,suisai-sekai,,,수채세계,104기 Ver.,Suisai Sekai,104th Ver.,,104th-collection,2,1
mix-shake-104,Mix shake!!,ja,cerise-bouquet,2025-05-20,104期 Ver.,mix-shake,,,Mix shake!!,104기 Ver.,Mix shake!!,104th Ver.,,104th-collection,2,2
holiday-holiday-104,Holiday∞Holiday,ja,cerise-bouquet,2025-05-20,104期 Ver.,holiday-holiday,,,Holiday∞Holiday,104기 Ver.,Holiday∞Holiday,104th Ver.,,104th-collection,2,3
genyou-yakou-104,眩耀夜行,ja,cerise-bouquet,2025-05-20,104期 Ver.,genyou-yakou,,,현요야행,104기 Ver.,Genyou Yakou,104th Ver.,,104th-collection,2,4
sugao-no-pixel-104,素顔のピクセル,ja,cerise-bouquet,2025-05-20,104期 Ver.,sugao-no-pixel,,,맨얼굴의 픽셀,104기 Ver.,Sugao no Pixel,104th Ver.,,104th-collection,2,5
senpen-banka-104,千変万華,ja,cerise-bouquet,2025-05-20,104期 Ver.,senpen-banka,,,천변만화,104기 Ver.,Senpen Banka,104th Ver.,,104th-collection,2,6
sugar-melt-104,シュガーメルト,ja,cerise-bouquet,2025-05-20,104期 Ver.,sugar-melt,,,슈가 멜트,104기 Ver.,Sugar Melt,104th Ver.,,104th-collection,2,7
awoke-104,AWOKE,ja,dollchestra,2025-05-20,104期 Ver.,awoke,,,AWOKE,104기 Ver.,AWOKE,104th Ver.,,104th-collection,3,1
kibouteki-prism-104,希望的プリズム,ja,dollchestra,2025-05-20,104期 Ver.,kibouteki-prism,,,희망적 프리즘,104기 Ver.,Kibouteki Prism,104th Ver.,,104th-collection,3,2
tragic-drops-104,Tragic Drops,ja,dollchestra,2025-05-20,104期 Ver.,tragic-drops,,,Tragic Drops,104기 Ver.,Tragic Drops,104th Ver.,,104th-collection,3,3
mirage-voyage-104,Mirage Voyage,ja,dollchestra,2025-05-20,104期 Ver.,mirage-voyage,,,Mirage Voyage,104기 Ver.,Mirage Voyage,104th Ver.,,104th-collection,3,4
take-it-over-104,Take It Over,ja,dollchestra,2025-05-20,104期 Ver.,take-it-over,,,Take It Over,104기 Ver.,Take It Over,104th Ver.,,104th-collection,3,5
knot-104,KNOT,ja,dollchestra,2025-05-20,104期 Ver.,knot,,,KNOT,104기 Ver.,KNOT,104th Ver.,,104th-collection,3,6
seishun-no-rinkaku-104,青春の輪郭,ja,dollchestra,2025-05-20,104期 Ver.,seishun-no-rinkaku,,,청춘의 윤곽,104기 Ver.,Seishun no Rinkaku,104th Ver.,,104th-collection,3,7
do-do-do-104,ド！ド！ド！,ja,mira-cra-park,2025-05-20,104期 Ver.,do-do-do,,,도! 도! 도!,104기 Ver.,Do! Do! Do!,104th Ver.,,104th-collection,4,1
Hakuchuu-a-la-mode-104,ハクチューアラモード,ja,mira-cra-park,2025-05-20,104期 Ver.,Hakuchuu-a-la-mode,,,백중 아라모드,104기 Ver.,Hakuchuu à la Mode,104th Ver.,,104th-collection,4,2
kokon-touzai-104,ココン東西,ja,mira-cra-park,2025-05-20,104期 Ver.,kokon-touzai,,,고금동서,104기 Ver.,Kokon Touzai,104th Ver.,,104th-collection,4,3
nonfiction-hero-show-104,ノンフィクションヒーローショー,ja,mira-cra-park,2025-05-20,104期 Ver.,nonfiction-hero-show,,,논픽션 히어로 쇼,104기 Ver.,Nonfiction Hero Show,104th Ver.,,104th-collection,4,4
ishin-denshin-104,以心☆電信,ja,mira-cra-park,2025-05-20,104期 Ver.,ishin-denshin,,,이심☆전신,104기 Ver.,Ishin☆Denshin,104th Ver.,,104th-collection,4,5
mahara-jamboree-104,マハラジャンボリー,ja,mira-cra-park,2025-05-20,104期 Ver.,mahara-jamboree,,,마하라 잼버리,104기 Ver.,Mahara Jamboree,104th Ver.,,104th-collection,4,6
tensai-nano-kamo-shirenai-104,天才なのかもしれない,ja,mira-cra-park,2025-05-20,104期 Ver.,tensai-nano-kamo-shirenai,,,천재일지도 몰라,104기 Ver.,Tensai Nano Kamo Shirenai,104th Ver.,,104th-collection,4,7
retrofuture,Retrofuture,ja,edel-note,2025-05-21,,,,,,,,,,retrofuture,,1
